Neighborhood,Male 15 to 17,Male 18-24,Males 25-34,Males 35-49,Males 50+,Population,Male_15-17%,Male_18-24%,Male_25-34%,Male_35-49%,Male_50+%,Female 15-17,Female 18-24,Female 25-34,Female 35-49,Female 50+,F_15-17%,Female_18-24%,Female_25-34%,Female_35-49%,Female_50+%
Rogers Park,816,3578,8440,6897,6104,54991,0.014838792,0.065065192,0.15347966,0.125420523,0.110999982,711,4287,5580,5747,6520,0.012929388,0.077958211,0.10147115,0.10450801,0.118564856
West Ridge,1436,3302,8285,7623,9657,71942,0.019960524,0.045898085,0.115162214,0.105960357,0.134233132,1344,3135,5480,7450,11322,0.018681716,0.04357677,0.076172472,0.103555642,0.157376776
Uptown,547,2550,10693,8037,7367,56362,0.00970512,0.045243249,0.189720024,0.142596075,0.130708633,483,2688,7200,5771,7623,0.008569604,0.047691707,0.127745644,0.102391682,0.135250701
Lincoln Square,465,1485,7195,4939,4359,39493,0.011774238,0.0376016,0.182184185,0.125060137,0.11037399,388,1560,5721,4708,4992,0.009824526,0.039500671,0.144861115,0.119210999,0.126402147
North Center,218,967,6388,4255,2719,31867,0.006840933,0.030344871,0.200458154,0.133523708,0.085323375,199,1074,5057,3912,3288,0.006244705,0.033702576,0.158690809,0.122760222,0.103178837
Lake View,338,5833,22855,10496,7844,94368,0.003581723,0.061811207,0.242190149,0.111224144,0.083121397,360,7677,18962,7801,8681,0.003814852,0.081351729,0.200936758,0.082665734,0.091990929
Lincoln Park,400,5075,11853,5882,6126,64116,0.006238692,0.079153409,0.184868052,0.091739971,0.095545574,398,7068,10262,5810,6767,0.006207499,0.110237694,0.160053653,0.090617007,0.105543078
Near North Side,373,3569,14939,7501,11378,80484,0.004634462,0.044344217,0.185614532,0.093198648,0.141369713,347,5063,13476,7683,13944,0.004311416,0.062906913,0.167437006,0.095459967,0.173251826
Edison Park,179,344,1051,1285,1849,11187,0.016000715,0.030749978,0.093948333,0.114865469,0.16528113,176,351,713,1325,2256,0.015732547,0.031375704,0.063734692,0.118441048,0.201662644
Norwood Park,613,1211,3193,4046,6480,37023,0.016557275,0.032709397,0.086243686,0.109283418,0.175026335,584,1097,2116,4019,8510,0.015773978,0.02963023,0.057153661,0.108554142,0.229857116
Jefferson Park,455,945,2793,2975,3952,25448,0.017879598,0.037134549,0.109753222,0.116905061,0.155297076,425,964,1878,2833,4913,0.016700723,0.037881169,0.073797548,0.111325055,0.193060358
Forest Glen,339,571,1290,2065,3258,18508,0.018316404,0.030851524,0.069699589,0.111573374,0.176031986,336,516,771,2193,3868,0.018154312,0.027879836,0.041657662,0.118489302,0.208990707
North Park,399,950,1726,1686,2832,17931,0.022251966,0.052980871,0.096257877,0.094027104,0.157938765,306,939,1161,1719,3609,0.017065417,0.052367408,0.064748201,0.095867492,0.201271541
Albany Park,988,3324,7653,5889,5200,51542,0.019168833,0.064491095,0.148480851,0.114256335,0.100888596,867,3068,4667,5256,5859,0.016821233,0.059524271,0.090547515,0.101975088,0.113674285
Portage Park,1282,3056,7442,7057,8783,64124,0.019992515,0.047657663,0.116056391,0.110052398,0.136968998,1207,2931,4915,6926,10773,0.018822906,0.045708315,0.076648369,0.108009482,0.16800262
Irving Park,938,2428,7830,6519,6116,53359,0.01757904,0.045503102,0.14674188,0.122172455,0.114619839,922,2305,5211,5924,7156,0.017279184,0.043197961,0.097659251,0.111021571,0.134110459
Dunning,725,1882,4504,4409,6855,41932,0.017289898,0.04488219,0.107412,0.105146428,0.163478966,704,1724,2891,4339,8372,0.016789087,0.041114185,0.068944959,0.103477058,0.199656587
Montclare,281,611,1501,1346,1845,13426,0.02092954,0.045508714,0.111798004,0.10025324,0.137419931,275,629,942,1328,2343,0.020482646,0.046849397,0.070162372,0.098912558,0.174512141
Belmont Cragin,1977,4663,9842,8288,8018,78743,0.025106994,0.059217962,0.124988888,0.1052538,0.101824924,1866,4182,6259,7875,9230,0.023697345,0.053109483,0.079486431,0.10000889,0.117216768
Hermosa,655,1467,3121,2675,2469,25010,0.026189524,0.058656537,0.124790084,0.106957217,0.098720512,616,1445,2025,2518,2704,0.024630148,0.057776889,0.080967613,0.100679728,0.108116753
Avondale,752,2297,6270,4455,3892,39262,0.01915338,0.058504406,0.159696399,0.113468494,0.099128929,732,2033,3900,3830,4588,0.018643981,0.051780347,0.099332688,0.097549794,0.116855993
