"","address_from","address_to","departure_time"
"1","41.7280697384747+-87.5963650537819","8751 S Greenwood Ave, Ste 106 Chicago, IL 60619",1531753802
"2","41.7280697384747+-87.5963650537819","111 N Wabash Ave, Ste 1514 Chicago, IL 60602",1531753802
"3","41.7280697384747+-87.5963650537819","111 N. Wabash Avenue Ste 1710 Chicago, IL 60602",1531753802
"4","41.7280697384747+-87.5963650537819","7200 S Ingleside Ave Chicago, IL 60619",1531753802
"5","41.7280697384747+-87.5963650537819","500 E 51st St Rm 7067 Chicago, IL 60615",1531753802
"6","41.7280697384747+-87.5963650537819","5401 S Wentworth Ave Chicago, IL 60609",1531753802
"7","41.7280697384747+-87.5963650537819","641 W 63rd St Lower Level Chicago, IL 60621",1531753802
"8","41.7280697384747+-87.5963650537819","654 E 47th St Chicago, IL 60653",1531753802
"9","41.7280697384747+-87.5963650537819","4259 S Berkley Ave Chicago, IL 60653",1531753802
"10","41.7280697384747+-87.5963650537819","6059 S Ashland Chicago, IL 60636",1531753802
"11","41.7280697384747+-87.5963650537819","8300 S Brandon Ave Chicago, IL 60617",1531753802
"12","41.7280697384747+-87.5963650537819","8234 S Ashland Ave Chicago, IL 60620",1531753802
"13","41.7280697384747+-87.5963650537819","2525 S Michigan Family Health Center Chicago, IL 60616",1531753802
"14","41.7280697384747+-87.5963650537819","9718 S Halsted St Chicago, IL 60628",1531753802
"15","41.7280697384747+-87.5963650537819","2517 S Archer Ave Chicago, IL 60608",1531753802
"16","41.7280697384747+-87.5963650537819","3450 S Archer Ave Chicago, IL 60608",1531753802
"17","41.7280697384747+-87.5963650537819","1817 S Loomis St Chicago, IL 60608",1531753802
"18","41.7280697384747+-87.5963650537819","2533 W Cermak Rd Chicago, IL 60608",1531753802
"19","41.7280697384747+-87.5963650537819","200 E 115th St Chicago, IL 60628",1531753802
"20","41.7280697384747+-87.5963650537819","11250 S Halsted Chicago, IL 60628",1531753802
"21","41.7280697384747+-87.5963650537819","845 W Wilson Ave., Chicago, IL",1531753802
"22","41.7280697384747+-87.5963650537819","200 E. 115th St. Chicago, IL ",1531753802
"23","41.7280697384747+-87.5963650537819","4909 W. Division, Suite 411 Chicago, IL ",1531753802
"24","41.7280697384747+-87.5963650537819","2849 N. Clark, 1st Fl Chicago, IL ",1531753802
"25","41.7280697384747+-87.5963650537819","29 E Madison St #1640, Chicago, IL 60602",1531753802
"26","41.7280697384747+-87.5963650537819","641 W 63rd St, Chicago, IL 60637",1531753802
"27","41.7280697384747+-87.5963650537819","18 S. Michigan Avenue, Chicago, IL 60603",1531753802
"28","41.7280697384747+-87.5963650537819","400 W 76th St Ste 100 Chicago, IL 60620",1531753802
"29","41.7280697384747+-87.5963650537819","1642 W 59th St 2nd Fl Chicago, IL 60636",1531753802
"30","41.7280697384747+-87.5963650537819","2525 E 83rd St Chicago, IL 60617",1531753802
"31","41.7280697384747+-87.5963650537819","8550 S Manistee Ave Chicago, IL 60617",1531753802
