,,,,,,Distance.Time,
"1|""1""|""8751 S Greenwood Ave #106", Chicago,IL 60619,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""877""|""644""|""OK""",
"2|""2""|""111 N Wabash Ave STE 1514", Chicago,IL 60602,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""18959""|""2479""|""OK""",
"3|""3""|""111 N Wabash Ave STE 1710", Chicago,IL 60602,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""18959""|""2479""|""OK""",
"4|""4""|""7200 S Ingleside Ave", Chicago,IL 60619,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""5407""|""1991""|""OK""",
"5|""5""|""500 E 51st St Rm 7067", Chicago,IL 60615,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""11533""|""2715""|""OK""",
"6|""6""|""5401 S Wentworth Ave", Chicago,IL 60609,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""11998""|""2320""|""OK""",
"7|""7""|""641 W 63rd St", Chicago,IL 60637,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""10970""|""2696""|""OK""",
"8|""8""|""654 E 47th St", Chicago,IL 60653,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""10124""|""2941""|""OK""",
"9|""9""|""4259 S Berkeley Ave", Chicago,IL 60653,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""11205""|""3346""|""OK""",
"10|""10""|""6059 S Ashland Ave", Chicago,IL 60636,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""13509""|""3383""|""OK""",
"11|""11""|""8300 S Brandon Ave", Chicago,IL 60617,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""7327""|""2218""|""OK""",
"12|""12""|""8234 S Ashland Ave", Chicago,IL 60620,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""9128""|""2494""|""OK""",
"13|""13""|""2525 S Michigan Ave", Chicago,IL 60616,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""14957""|""2273""|""OK""",
"14|""14""|""9718 S Halsted St", Chicago,IL 60628,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""5518""|""1625""|""OK""",
"15|""15""|""2517 S Archer Ave", Chicago,IL 60608,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""23327""|""3743""|""OK""",
"16|""16""|""3450 S Archer Ave", Chicago,IL 60608,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""19830""|""4026""|""OK""",
"17|""17""|""1817 S Loomis St", Chicago,IL 60608,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""21322""|""4562""|""OK""",
"18|""18""|""2533 W Cermak Rd", Chicago,IL 60608,"USA""|""9130 S University Ave", Chicago,IL 60619,"USA""|""23064""|""4815""|""OK""",
