"","address_from","address_to","departure_time"
"1","41.7280697384747+-87.5963650537819","41.7280697384747+-87.5963650537819",1531753802
"2","41.7280697384747+-87.5963650537819","41.6600735833141+-87.6027606644691",1531753802
"3","41.7280697384747+-87.5963650537819","42.0096631911395+-87.6703701938129",1531753802
"4","41.7280697384747+-87.5963650537819","42.0016266052879+-87.6952739229127",1531753802
"5","41.7280697384747+-87.5963650537819","41.9660049251669+-87.6560655873818",1531753802
"6","41.7280697384747+-87.5963650537819","41.9752938653085+-87.6876044912929",1531753802
"7","41.7280697384747+-87.5963650537819","41.947802478396+-87.6838288880792",1531753802
"8","41.7280697384747+-87.5963650537819","41.9443051170158+-87.6559584046758",1531753802
"9","41.7280697384747+-87.5963650537819","41.9225628780949+-87.6492264530699",1531753802
"10","41.7280697384747+-87.5963650537819","42.0074587818873+-87.8139526140864",1531753802
"11","41.7280697384747+-87.5963650537819","41.9786623813445+-87.7709799398797",1531753802
"12","41.7280697384747+-87.5963650537819","41.9937899822757+-87.758306927832",1531753802
"13","41.7280697384747+-87.5963650537819","41.9835235863978+-87.7235976823831",1531753802
"14","41.7280697384747+-87.5963650537819","41.9679829995773+-87.7214281179818",1531753802
"15","41.7280697384747+-87.5963650537819","41.9538532333971+-87.7632868435899",1531753802
"16","41.7280697384747+-87.5963650537819","41.953476156782+-87.7234277416332",1531753802
"17","41.7280697384747+-87.5963650537819","41.9463738460307+-87.8059469561618",1531753802
"18","41.7280697384747+-87.5963650537819","41.9291592878285+-87.7979118631765",1531753802
"19","41.7280697384747+-87.5963650537819","41.9270986914441+-87.7653924214029",1531753802
"20","41.7280697384747+-87.5963650537819","41.9242178973088+-87.7345987231629",1531753802
"21","41.7280697384747+-87.5963650537819","41.9385658738959+-87.711080987541",1531753802
"22","41.7280697384747+-87.5963650537819","41.9226789514424+-87.6991063254002",1531753802
"23","41.7280697384747+-87.5963650537819","41.8999821907166+-87.7208184888597",1531753802
"24","41.7280697384747+-87.5963650537819","41.9011559749849+-87.676415061286",1531753802
"25","41.7280697384747+-87.5963650537819","41.8995471517769+-87.6332700966026",1531753802
"26","41.7280697384747+-87.5963650537819","41.8940053778173+-87.7629749199119",1531753802
"27","41.7280697384747+-87.5963650537819","41.8785040925962+-87.7301443114603",1531753802
"28","41.7280697384747+-87.5963650537819","41.8787818601916+-87.7059139182524",1531753802
"29","41.7280697384747+-87.5963650537819","41.8740352843214+-87.6635536721441",1531753802
"30","41.7280697384747+-87.5963650537819","41.8601262251482+-87.7171532950132",1531753802
"31","41.7280697384747+-87.5963650537819","41.8390114768947+-87.7140496155995",1531753802
"32","41.7280697384747+-87.5963650537819","41.8502567877367+-87.6672680881399",1531753802
"33","41.7280697384747+-87.5963650537819","41.8782925714324+-87.626076118601",1531753802
"34","41.7280697384747+-87.5963650537819","41.85726065669+-87.6203836316986",1531753802
"35","41.7280697384747+-87.5963650537819","41.8419653804173+-87.6338795824279",1531753802
"36","41.7280697384747+-87.5963650537819","41.8350725174674+-87.6186374457239",1531753802
"37","41.7280697384747+-87.5963650537819","41.8235575022133+-87.6033262875412",1531753802
"38","41.7280697384747+-87.5963650537819","41.8090232230865+-87.6323556977827",1531753802
"39","41.7280697384747+-87.5963650537819","41.812848909257+-87.6178577231512",1531753802
"40","41.7280697384747+-87.5963650537819","41.8088052230625+-87.5959367718463",1531753802
"41","41.7280697384747+-87.5963650537819","41.7922326296234+-87.6180150144074",1531753802
"42","41.7280697384747+-87.5963650537819","41.7939655116723+-87.5919106636563",1531753802
"43","41.7280697384747+-87.5963650537819","41.7788926978829+-87.5941325451083",1531753802
"44","41.7280697384747+-87.5963650537819","41.7616193467157+-87.5727470665295",1531753802
"45","41.7280697384747+-87.5963650537819","41.7401322346728+-87.6158514499342",1531753802
"46","41.7280697384747+-87.5963650537819","41.7441202257605+-87.5861921763079",1531753802
"47","41.7280697384747+-87.5963650537819","41.7413785813157+-87.5513955113753",1531753802
"48","41.7280697384747+-87.5963650537819","41.729615128567+-87.5725274700127",1531753802
"49","41.7280697384747+-87.5963650537819","41.7065552558309+-87.6232658413343",1531753802
"50","41.7280697384747+-87.5963650537819","41.7058963058351+-87.598104102787",1531753802
"51","41.7280697384747+-87.5963650537819","41.6906385662062+-87.5698357426607",1531753802
"52","41.7280697384747+-87.5963650537819","41.7066550122029+-87.534804215858",1531753802
"53","41.7280697384747+-87.5963650537819","41.6604320500272+-87.5465856207628",1531753802
"54","41.7280697384747+-87.5963650537819","41.6735687088478+-87.6354937597493",1531753802
"55","41.7280697384747+-87.5963650537819","41.796264856876+-87.7641557922866",1531753802
"56","41.7280697384747+-87.5963650537819","41.8109819729256+-87.7262954303026",1531753802
"57","41.7280697384747+-87.5963650537819","41.8173919060482+-87.6989565180089",1531753802
"58","41.7280697384747+-87.5963650537819","41.8298751695202+-87.6725404738332",1531753802
"59","41.7280697384747+-87.5963650537819","41.8360972262197+-87.6486657577671",1531753802
"60","41.7280697384747+-87.5963650537819","41.8090047564555+-87.6591125453525",1531753802
"61","41.7280697384747+-87.5963650537819","41.7931003787602+-87.7241696258954",1531753802
"62","41.7280697384747+-87.5963650537819","41.769813487811+-87.7269587839611",1531753802
"63","41.7280697384747+-87.5963650537819","41.7718171397642+-87.6956225011237",1531753802
"64","41.7280697384747+-87.5963650537819","41.7758191434555+-87.6665444291438",1531753802
"65","41.7280697384747+-87.5963650537819","41.7771553035109+-87.642533797381",1531753802
"66","41.7280697384747+-87.5963650537819","41.7631313750895+-87.6161449758319",1531753802
"67","41.7280697384747+-87.5963650537819","41.7458789496277+-87.708447442138",1531753802
"68","41.7280697384747+-87.5963650537819","41.7441251555629+-87.6561939910038",1531753802
"69","41.7280697384747+-87.5963650537819","41.713174341624+-87.674905487756",1531753802
"70","41.7280697384747+-87.5963650537819","41.717497136584+-87.6488126158935",1531753802
"71","41.7280697384747+-87.5963650537819","41.6949427303407+-87.7131143035803",1531753802
"72","41.7280697384747+-87.5963650537819","41.6897028333982+-87.6689093722473",1531753802
"73","41.7280697384747+-87.5963650537819","41.9868055870168+-87.6636453524612",1531753802
"74","41.7280697384747+-87.5963650537819","41.7796443848087+-87.7685395125761",1531753802
"75","41.7280697384747+-87.5963650537819","41.7953684038668+-87.6963426618231",1531753802
"76","41.7280697384747+-87.5963650537819","41.9755410217275+-87.8934158515724",1531753802
