"index"|"destination"|"origin"|"distance"|"duration"|"status"
"1"|"1"|"9130 S University Ave, Chicago, IL 60619, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"0"|"0"|"OK"
"2"|"2"|"600 E 130th St, Chicago, IL 60628, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"17809"|"3685"|"OK"
"3"|"3"|"7020 N Ashland Blvd, Chicago, IL 60626, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"37862"|"5395"|"OK"
"4"|"4"|"6608 N Rockwell St, Chicago, IL 60645, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"40133"|"6767"|"OK"
"5"|"5"|"4617 N Kenmore Ave, Chicago, IL 60640, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"32607"|"4417"|"OK"
"6"|"6"|"5145 N Claremont Ave, Chicago, IL 60625, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"36389"|"5960"|"OK"
"7"|"7"|"3608 N Leavitt St, Chicago, IL 60618, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"32626"|"4864"|"OK"
"8"|"8"|"1041 W Newport Ave, Chicago, IL 60657, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"30681"|"4330"|"OK"
"9"|"9"|"2222 N Halsted St, Chicago, IL 60614, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"28256"|"4027"|"OK"
"10"|"10"|"6946 N Olcott Ave, Chicago, IL 60631, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"43986"|"6401"|"OK"
"11"|"11"|"5382 N Milwaukee Ave, Chicago, IL 60630, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"38696"|"5949"|"OK"
"12"|"12"|"6244 N Leroy Ave, Chicago, IL 60646, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"43149"|"6881"|"OK"
"13"|"13"|"3786 W Bryn Mawr Ave, Chicago, IL 60659, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"35571"|"6228"|"OK"
"14"|"14"|"3719 W Lawrence Ave, Chicago, IL 60625, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"37909"|"5325"|"OK"
"15"|"15"|"5416 W Irving Park Rd, Chicago, IL 60641, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"36974"|"6315"|"OK"
"16"|"16"|"3801 W Irving Park Rd, Chicago, IL 60618, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"34522"|"5231"|"OK"
"17"|"17"|"3632 N Neva Ave, Chicago, IL 60634, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"40547"|"7032"|"OK"
"18"|"18"|"2700 N New England Ave, Chicago, IL 60707, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"38781"|"6708"|"OK"
"19"|"19"|"2542 N Luna Ave, Chicago, IL 60639, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"35485"|"5781"|"OK"
"20"|"20"|"4311 W Fullerton Ave, Chicago, IL 60639, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"29872"|"5539"|"OK"
"21"|"21"|"3137 N Christiana Ave, Chicago, IL 60618, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"32026"|"4728"|"OK"
"22"|"22"|"2844 W Lyndale St, Chicago, IL 60647, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"29686"|"4534"|"OK"
"23"|"23"|"1031 N Hamlin Ave, Chicago, IL 60651, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"32180"|"6009"|"OK"
"24"|"24"|"1941 W Thomas St, Chicago, IL 60622, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"28405"|"5090"|"OK"
"25"|"25"|"942 N LaSalle Dr, Chicago, IL 60610, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"24958"|"3871"|"OK"
"26"|"26"|"735 N Pine Ave, Chicago, IL 60644, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"31764"|"4902"|"OK"
"27"|"27"|"4157 W Wilcox St, Chicago, IL 60624, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"30400"|"4831"|"OK"
"28"|"28"|"155 S Kedzie Ave, Chicago, IL 60612, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"28406"|"4560"|"OK"
"29"|"29"|"1447 W Harrison St, Chicago, IL 60607, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"24195"|"3998"|"OK"
"30"|"30"|"1523 S Lawndale Ave, Chicago, IL 60623, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"26646"|"5186"|"OK"
"31"|"31"|"3530 W 30th St, Chicago, IL 60623, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"24991"|"4996"|"OK"
"32"|"32"|"2240 S Ashland Ave, Chicago, IL 60608, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"21429"|"4143"|"OK"
"33"|"33"|"243 S Wabash Ave, Chicago, IL 60604, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"21217"|"2881"|"OK"
"34"|"34"|"1821 S Prairie Ave, Chicago, IL 60616, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"16547"|"2352"|"OK"
"35"|"35"|"2825 S Princeton Ave, Chicago, IL 60616, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"19711"|"3560"|"OK"
"36"|"36"|"3200 S Calumet Ave, Chicago, IL 60616, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"15085"|"3330"|"OK"
"37"|"37"|"3936 S Lake Park Ave, Chicago, IL 60653, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"11905"|"3426"|"OK"
"38"|"38"|"231 W 47th St, Chicago, IL 60609, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"13600"|"2283"|"OK"
"39"|"39"|"347 E 45th St, Chicago, IL 60653, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"12654"|"2820"|"OK"
"40"|"40"|"4728 S Kimbark Ave, Chicago, IL 60615, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"10211"|"1745"|"OK"
"41"|"41"|"5626 S Calumet Ave, Chicago, IL 60637, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"10526"|"2456"|"OK"
"42"|"42"|"5534 S Dorchester Ave, Chicago, IL 60637, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"8272"|"1532"|"OK"
"43"|"43"|"6349 S Kimbark Ave, Chicago, IL 60637, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"6904"|"1403"|"OK"
"44"|"44"|"7330 S Merrill Ave, Chicago, IL 60649, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"7078"|"1957"|"OK"
"45"|"45"|"347 E 85th St, Chicago, IL 60619, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"4554"|"1178"|"OK"
"46"|"46"|"1559 E 83rd St, Chicago, IL 60619, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"4066"|"1645"|"OK"
"47"|"47"|"8473 S Commercial Ave, Chicago, IL 60617, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"6373"|"1756"|"OK"
"48"|"48"|"9101 S Clyde Ave, Chicago, IL 60617, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"3403"|"1002"|"OK"
"49"|"49"|"8 E 103rd Pl, Chicago, IL 60628, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"4935"|"1676"|"OK"
"50"|"50"|"E 104th St, Chicago, IL 60628, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"7203"|"2021"|"OK"
"51"|"51"|"41.6906385662062,-87.5698357426607"|"41.7280697384747,-87.5963650537819"|"ZERO_RESULTS"|"ZERO_RESULTS"|"ZERO_RESULTS"
"52"|"52"|"10347 S Ewing Ave, Chicago, IL 60617, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"8749"|"2414"|"OK"
"53"|"53"|"3147 S Brandon Ave, Chicago, IL 60633, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"19756"|"3811"|"OK"
"54"|"54"|"12119 S Parnell Ave, Chicago, IL 60628, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"10336"|"2894"|"OK"
"55"|"55"|"5633 W 53rd St, Chicago, IL 60638, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"32275"|"5846"|"OK"
"56"|"56"|"4516 S Karlov Ave, Chicago, IL 60632, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"20606"|"5128"|"OK"
"57"|"57"|"4186 S Archer Ave, Chicago, IL 60632, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"25497"|"4613"|"OK"
"58"|"58"|"3519 S Wolcott Ave, Chicago, IL 60609, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"19363"|"3755"|"OK"
"59"|"59"|"3204 S Lituanica Ave, Chicago, IL 60608, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"18692"|"3752"|"OK"
"60"|"60"|"1330 W 47th St, Chicago, IL 60609, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"16077"|"3007"|"OK"
"61"|"61"|"5505 S Komensky Ave, Chicago, IL 60629, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"19687"|"4006"|"OK"
"62"|"62"|"4132 W 68th St, Chicago, IL 60629, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"15620"|"4247"|"OK"
"63"|"63"|"6655 S Francisco Ave, Chicago, IL 60629, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"16447"|"4238"|"OK"
"64"|"64"|"1630 W 65th St, Chicago, IL 60636, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"12886"|"3006"|"OK"
"65"|"65"|"6407 S Union Ave, Chicago, IL 60621, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"11484"|"2843"|"OK"
"66"|"66"|"7232 S King Dr, Chicago, IL 60619, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"7077"|"1698"|"OK"
"67"|"67"|"3451 W Columbus Ave, Chicago, IL 60652, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"12445"|"3761"|"OK"
"68"|"68"|"8228 S Throop St, Chicago, IL 60620, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"6864"|"2608"|"OK"
"69"|"69"|"9916 S Hoyne Ave, Chicago, IL 60643, USA"|"9130 S University Ave, Chicago, IL 60619, USA"|"8453"|"2488"|"OK"
