Neighborhood,Geog Key,Marriage Rate,2010 Population,Land Area (Acres),"Chlamydia Rate per 100,000",Percent_without_insurance,Male: 15 to 19 years,Male: 20 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female: 15 to 19 years,Female: 20 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over,Percent_Poverty
Rogers Park,1,0.3,54991,1229.160488,856.5,20.7,1618,2776,2970,2883,2587,2286,2024,1814,1384,518,585,327,356,460,292,200,168,1798,3200,2877,2703,2252,1742,1753,1620,1436,486,661,308,383,534,392,312,388,26.3
West Ridge,2,0.49,71942,1283.804076,398.9,19.6,2292,2446,2890,2767,2628,2534,2461,2317,2200,789,904,506,587,781,624,502,447,2177,2302,2793,2687,2569,2367,2514,2408,2316,794,1026,561,718,1056,799,713,931,22.1
Uptown,3,0.3,56362,637.4241471,968.7,15,905,2192,3964,3797,2932,2640,2465,2080,1730,493,657,361,463,584,417,320,262,866,2305,3907,3293,2381,1887,1503,1588,1363,561,679,360,475,763,620,524,690,24.0
Lincoln Square,4,0.44,39493,3109.741438,359.6,14.2,751,1199,2451,2696,2048,1595,1296,1102,1034,359,429,210,281,403,241,181,119,688,1260,2967,2754,1961,1505,1242,1151,1080,322,493,256,323,436,340,275,316,11.9
North Center,5,0.46,31867,2411.968642,251,7,355,830,2300,2274,1814,1441,1000,715,597,207,274,169,196,228,157,92,84,330,943,2704,2353,1781,1254,877,752,624,261,314,159,218,319,257,181,203,5.5
Lake View,6,0.3,94368,4574.247078,713.2,7.1,654,5517,11158,7300,4397,3409,2690,1926,1600,629,849,420,588,669,513,377,273,762,7275,12483,6479,3521,2475,1805,1640,1418,652,962,532,657,861,630,549,780,10.7
Lincoln Park,7,0.33,64116,800.1087547,516.3,4.6,1415,4060,5910,3640,2303,2008,1571,1434,1173,498,704,391,532,578,381,255,180,1942,5524,6714,3548,2306,1853,1651,1384,1316,543,770,431,532,540,387,345,519,10.8
Near North Side,8,0.34,80484,1269.297425,603.8,5.3,740,3202,6957,4956,3026,2326,2149,2132,2063,896,1352,711,1017,1299,851,621,436,865,4545,8491,4985,2915,2343,2425,2460,2587,1101,1659,897,1166,1445,1019,802,808,12.4
Edison Park,9,0.54,11187,2504.577926,134.1,7,256,267,348,318,385,448,452,432,401,130,161,77,111,145,176,108,108,257,270,354,359,417,466,442,445,404,141,164,95,147,233,207,205,215,1.9
Norwood Park,10,0.52,37023,2038.093742,186.4,6.3,948,876,958,988,1247,1387,1412,1406,1326,463,594,318,419,559,482,444,469,888,793,959,1157,1280,1333,1406,1493,1389,454,641,363,495,763,783,817,1312,6.3
Jefferson Park,11,0.52,25448,1338.189154,212.2,14.7,727,673,888,911,994,964,1017,988,815,300,399,189,260,335,272,215,179,671,718,917,961,945,934,954,998,876,351,450,226,338,465,411,375,423,9.4
Forest Glen,12,0.63,18508,1742.258738,194.5,6.7,512,398,332,402,556,724,785,698,664,241,327,158,261,312,274,186,137,481,371,347,424,649,743,801,772,728,251,356,187,295,414,299,260,306,4.2
North Park,13,0.47,17931,390.174082,273.3,12.7,697,652,608,546,572,568,546,520,547,189,259,174,197,338,260,184,164,556,689,626,535,578,570,571,581,557,214,311,218,256,436,349,325,362,14.0
Albany Park,14,0.45,51542,1120.896268,411.3,27.1,1808,2504,2741,2616,2296,1788,1805,1421,1220,414,497,295,310,401,270,189,183,1651,2284,2400,2267,2129,1615,1512,1362,1252,413,503,281,396,493,430,338,391,19.5
Portage Park,15,0.46,64124,1889.82256,411.7,18.1,2115,2223,2539,2488,2415,2352,2290,2335,2104,731,886,437,500,651,489,341,309,1945,2193,2560,2355,2392,2241,2293,2579,2170,764,1029,475,650,985,752,652,717,12.9
