Neighborhood,Male Population,Male Under 15,Male 15 to 17,Male 18 to 24,Males 25-34,Males 35-49,Males 50+,Male_under_15%,Male_15-17%,Male_18-24%,Male_25-34%,Male_35-49%,Male_50+%,Female_Population,Female Under 15,Female 15-17,Female 18-24,Female 25-34,Female 35-49,Female 50+,Female_Under_15%,Female_15-17%,Female_18-24%,Female_25-34%,Female_35-49%,Female_50+%
Rogers Park,27752,4504,816,3578,5853,6897,6104,0.162294609,0.029403286,0.128927645,0.210903719,0.248522629,0.219948112,27239,4394,711,4287,5580,5747,6520,0.161312824,0.02610228,0.157384632,0.204853335,0.210984251,0.239362679
West Ridge,35522,7847,1436,3302,5657,7623,9657,0.220905354,0.040425652,0.092956478,0.15925342,0.214599403,0.271859693,36420,7689,1344,3135,5480,7450,11322,0.211120264,0.036902801,0.086079077,0.150466776,0.204557935,0.310873147
Uptown,29512,3250,547,2550,7761,8037,7367,0.110124695,0.018534833,0.08640553,0.262977772,0.2723299,0.24962727,26850,3085,483,2688,7200,5771,7623,0.114897579,0.017988827,0.100111732,0.268156425,0.214934823,0.283910615
Lincoln Square,19309,2914,465,1485,5147,4939,4359,0.150914082,0.024082034,0.076907142,0.266559635,0.255787457,0.22574965,20184,2815,388,1560,5721,4708,4992,0.139466904,0.019223147,0.077288942,0.283442331,0.233254063,0.247324614
North Center,15557,2824,218,967,4574,4255,2719,0.181526001,0.014012985,0.062158514,0.294015556,0.273510317,0.174776628,16310,2780,199,1074,5057,3912,3288,0.170447578,0.012201104,0.065849172,0.310055181,0.239852851,0.201594114
Lake View,47000,4031,338,5833,18458,10496,7844,0.085765957,0.007191489,0.124106383,0.392723404,0.223319149,0.166893617,47368,3887,360,7677,18962,7801,8681,0.082059618,0.007600068,0.162071441,0.400312447,0.164689242,0.183267185
Lincoln Park,30430,3397,400,5075,9550,5882,6126,0.111633257,0.013144923,0.166776208,0.313835031,0.193296089,0.201314492,33686,3381,398,7068,10262,5810,6767,0.100368105,0.011814997,0.209820103,0.304636941,0.172475212,0.200884641
Near North Side,37337,2603,373,3569,11913,7501,11378,0.069716367,0.00999009,0.095588826,0.319066877,0.200899912,0.304737928,43147,2634,347,5063,13476,7683,13944,0.061047118,0.008042274,0.117343037,0.312327624,0.178065682,0.323174265
Edison Park,5367,1044,179,344,666,1285,1849,0.194522079,0.033351966,0.064095398,0.124091671,0.239426123,0.344512763,5820,999,176,351,713,1325,2256,0.171649485,0.03024055,0.060309278,0.122508591,0.22766323,0.387628866
Norwood Park,17522,3226,613,1211,1946,4046,6480,0.184111403,0.034984591,0.069113115,0.111060381,0.230909714,0.369820797,19501,3175,584,1097,2116,4019,8510,0.162812163,0.029947182,0.056253525,0.108507256,0.206091995,0.436387878
Jefferson Park,12293,2167,455,945,1799,2975,3952,0.176279183,0.037012934,0.076873017,0.146343447,0.242007647,0.321483771,13155,2142,425,964,1878,2833,4913,0.162827822,0.032307108,0.073280122,0.142759407,0.215355378,0.373470163
Forest Glen,8934,1967,339,571,734,2065,3258,0.220170137,0.037944929,0.063913141,0.082158048,0.231139467,0.364674278,9574,1890,336,516,771,2193,3868,0.197409651,0.035095049,0.053895968,0.080530604,0.229057865,0.404010863
North Park,8649,1628,399,950,1154,1686,2832,0.188229853,0.046132501,0.109839288,0.13342583,0.194935831,0.327436698,9282,1548,306,939,1161,1719,3609,0.166774402,0.032967033,0.101163542,0.125080802,0.185197156,0.388817065
Albany Park,26407,5649,988,3324,5357,5889,5200,0.213920551,0.037414322,0.125875715,0.202862877,0.223009051,0.196917484,25135,5418,867,3068,4667,5256,5859,0.215555998,0.034493734,0.122060871,0.185677342,0.209110802,0.233101253
Portage Park,31337,6132,1282,3056,5027,7057,8783,0.195679229,0.040910106,0.097520503,0.160417398,0.225197051,0.280275712,32787,6035,1207,2931,4915,6926,10773,0.184066856,0.036813371,0.089395187,0.149906975,0.211242261,0.32857535
Irving Park,26674,5219,938,2428,5454,6519,6116,0.195658694,0.03516533,0.091024968,0.204468771,0.244395291,0.229286946,26685,5167,922,2305,5211,5924,7156,0.19362938,0.034551246,0.086378115,0.195278246,0.221997377,0.268165636
Dunning,20504,3567,725,1882,3066,4409,6855,0.173966055,0.035358954,0.091786968,0.149531799,0.215031213,0.33432501,21428,3398,704,1724,2891,4339,8372,0.158577562,0.032854209,0.080455479,0.134916931,0.202492066,0.390703752
Montclare,6592,1461,281,611,1048,1346,1845,0.221632282,0.042627427,0.092688107,0.158980583,0.204186893,0.279884709,6834,1317,275,629,942,1328,2343,0.192712906,0.040239977,0.092039801,0.137840211,0.194322505,0.342844601
Belmont Cragin,39609,9907,1977,4663,6756,8288,8018,0.250119922,0.049912899,0.117725769,0.170567295,0.209245374,0.202428741,39134,9722,1866,4182,6259,7875,9230,0.248428477,0.047682322,0.106863597,0.15993765,0.201231666,0.235856289
Hermosa,12566,3171,655,1467,2129,2675,2469,0.252347605,0.052124781,0.116743594,0.169425434,0.212876015,0.196482572,12444,3136,616,1445,2025,2518,2704,0.252009,0.049501768,0.116120219,0.162729026,0.202346512,0.217293475
Avondale,20119,4170,752,2297,4553,4455,3892,0.207266763,0.037377603,0.114170684,0.226303494,0.221432477,0.193448979,19143,4060,732,2033,3900,3830,4588,0.212087969,0.038238521,0.1062007,0.203729823,0.200073134,0.239669853
Logan Square,36805,6652,1094,3992,10687,8306,6074,0.180736313,0.029724222,0.108463524,0.290368157,0.225675859,0.165031925,35986,6342,1151,4193,10299,7245,6756,0.176235203,0.031984661,0.116517535,0.286194631,0.201328294,0.187739677
Humboldt Park,27273,7217,1530,3288,4212,5252,5774,0.264620687,0.056099439,0.120558794,0.154438456,0.192571408,0.211711216,29050,7035,1557,3379,4675,5649,6755,0.242168675,0.053597246,0.116316695,0.160929432,0.194457831,0.23253012
West Town,42058,5654,830,3845,14990,9862,6877,0.134433401,0.019734652,0.09142137,0.356412573,0.23448571,0.163512293,40178,5373,850,4408,14516,7991,7040,0.133729902,0.021155856,0.109711783,0.361292249,0.19888994,0.17522027
Austin,45189,11032,2613,4992,5797,8519,12236,0.244130209,0.057823807,0.110469362,0.128283432,0.18851933,0.270773861,53325,10668,2661,5668,7099,10259,16970,0.200056259,0.049901547,0.106291608,0.133127051,0.19238631,0.318237225
West Garfield Park,8302,2172,620,1047,978,1461,2024,0.261623705,0.0746808,0.126114189,0.117802939,0.175981691,0.243796675,9699,2221,562,1089,1199,1912,2716,0.22899268,0.057944118,0.112279616,0.123620992,0.197133725,0.280028869
East Garfield Park,9535,2443,646,1087,1395,1802,2162,0.256213949,0.067750393,0.114001049,0.146303094,0.188987939,0.226743576,11032,2422,629,1154,1715,2187,2925,0.219543147,0.057015954,0.104604786,0.155456853,0.198241479,0.265137781
Near West Side,26974,3281,739,4156,8657,5569,4572,0.121635649,0.027396752,0.154074294,0.320938682,0.206458071,0.169496552,27907,3165,598,4967,8734,5106,5337,0.113412405,0.021428315,0.177984018,0.312968073,0.182964848,0.191242341
North Lawndale,16517,4825,1157,2019,2082,2827,3607,0.292123267,0.07004904,0.122237694,0.126051946,0.17115699,0.218381062,19395,4617,1086,2209,2768,3722,4993,0.238051044,0.055993813,0.113895334,0.142717195,0.19190513,0.257437484
South Lawndale,45395,10128,2023,7013,9227,9843,7161,0.223108272,0.044564379,0.15448838,0.203260271,0.216830047,0.157748651,33893,9771,1694,4031,5836,6510,6051,0.288289617,0.049980822,0.118933113,0.172188948,0.19207506,0.17853244
Lower West Side,18827,4086,843,2412,4065,3907,3514,0.217028735,0.044776119,0.128113879,0.215913316,0.207521113,0.186646837,16942,3994,758,2104,3465,3231,3390,0.235745485,0.044740881,0.124188408,0.204521308,0.190709479,0.20009444
The Loop,14464,648,74,3172,4729,2743,3098,0.044800885,0.00511615,0.219303097,0.326949668,0.189643252,0.214186947,14819,709,73,4150,4150,2297,3440,0.047843984,0.004926108,0.280045887,0.280045887,0.155003711,0.232134422
Near South Side,10159,1237,128,656,3204,2638,2296,0.121763953,0.012599665,0.064573285,0.315385373,0.259671227,0.226006497,11231,1281,122,760,3513,2572,2983,0.1140593,0.01086279,0.067669842,0.312794943,0.229008993,0.265604131
Armour Square,6450,967,222,857,881,1247,2276,0.149922481,0.034418605,0.132868217,0.136589147,0.193333333,0.352868217,6941,912,218,704,843,1445,2819,0.131393171,0.031407578,0.101426307,0.12145224,0.208183259,0.406137444
Douglas,8413,1124,250,1830,1460,1311,2438,0.133602758,0.029715916,0.217520504,0.173540949,0.155830263,0.289789611,9825,1178,243,1448,1629,1644,3683,0.119898219,0.024732824,0.147379135,0.165801527,0.167328244,0.374860051
Oakland,2440,756,151,220,298,470,545,0.309836066,0.061885246,0.090163934,0.122131148,0.192622951,0.223360656,3478,757,170,297,573,815,866,0.217653824,0.048878666,0.085393905,0.164749856,0.234330075,0.248993675
Fuller Park,1391,301,74,139,153,238,486,0.216391086,0.053199137,0.099928109,0.109992811,0.171099928,0.349388929,1485,257,79,149,176,255,569,0.173063973,0.053198653,0.1003367,0.118518519,0.171717172,0.383164983
