Neighborhood,Geog_Key,2010_Population,Land_Area_Acres,"Chlamydia_Rate_per_100,000",Percent_without_insurance
Rogers Park,1,54991,1229.160488,856.5,20.7
West Ridge,2,71942,1283.804076,398.9,19.6
Uptown,3,56362,637.4241471,968.7,15.0
Lincoln Square,4,39493,3109.741438,359.6,14.2
North Center,5,31867,2411.968642,251,7.0
Lake View,6,94368,4574.247078,713.2,7.1
Lincoln Park,7,64116,800.1087547,516.3,4.6
Near North Side,8,80484,1269.297425,603.8,5.3
Edison Park,9,11187,2504.577926,134.1,7.0
Norwood Park,10,37023,2038.093742,186.4,6.3
Jefferson Park,11,25448,1338.189154,212.2,14.7
Forest Glen,12,18508,1742.258738,194.5,6.7
North Park,13,17931,390.174082,273.3,12.7
Albany Park,14,51542,1120.896268,411.3,27.1
Portage Park,15,64124,1889.82256,411.7,18.1
Irving Park,16,53359,2256.186074,459.2,23.8
Dunning,17,41932,1633.26891,245.6,17.3
Montclare,18,13426,1052.858844,461.8,18.3
Belmont Cragin,19,78743,2378.213985,669.3,25.7
Hermosa,20,25010,1236.988524,711.7,26.2
Avondale,21,39262,1908.480789,596,28.9
Logan Square,22,73595,1111.664635,664.4,18.3
Humboldt Park,23,56323,726.2698244,1654.7,22.9
West Town,24,81432,1966.306763,755.2,12.9
Austin,25,98514,2046.163795,1953,19.2
West Garfield Park,26,18001,457.2246308,2933.2,19.9
East Garfield Park,27,20567,1406.90761,2572.1,17.1
Near West Side,28,54881,2706.399862,1162.5,7.8
North Lawndale,29,35912,1113.23469,3210.6,17.2
South Lawndale,30,79288,2269.356472,895.5,32.0
Lower West Side,31,35769,3350.912518,872.3,28.5
The Loop,32,29283,748.4402995,631.8,4.9
Near South Side,33,21390,2306.723522,561,4.3
Armour Square,34,13391,1032.261867,612.4,25.3
Douglas,35,18238,2057.194253,1354.3,12.3
Oakland,36,5918,1489.168086,1960.1,12.9
Fuller Park,37,2876,666.5200613,1460.4,19.0
Grand Boulevard,38,21929,1994.179416,1773.9,15.7
Kenwood,39,17841,2024.464343,1126.6,9.6
Washington Park,40,11717,1638.024062,2859.1,13.0
Hyde Park,41,25681,2297.005663,467.3,9.3
Woodlawn,42,25983,1872.14701,1816.6,13.0
South Shore,43,49767,905.2295597,1724,17.3
Chatham,44,31028,633.066887,1646.9,16.9
Avalon Park,45,10185,2109.213554,1246.9,16.1
South Chicago,46,31198,1735.176548,1496.9,16.0
Burnside,47,2916,1754.479942,1303.2,13.3
Calumet Heights,48,13812,1140.882985,1281.5,10.9
Roseland,49,44619,3638.486377,1571.1,14.4
Pullman,50,7325,3090.839378,1187.7,16.9
South Deering,51,15109,1309.783474,1045.7,18.3
East Side,52,23042,2054.348526,455.7,17.4
West Pullman,53,29651,1613.606662,1608.7,15.6
Riverdale,54,6482,2799.795813,2962,13.5
Hegewisch,55,9426,8536.170971,403.1,12.1
Garfield Ridge,56,34513,372.036837,420.1,10.9
Archer Heights,57,13393,2529.754309,664.5,25.1
Brighton Park,58,45368,1354.48933,714.2,29.3
McKinley Park,59,15612,2258.712054,621.3,21.5
Bridgeport,60,31977,1175.921114,372.1,19.5
New City,61,44377,3083.418424,1304.7,25.5
West Elsdon,62,18109,2140.676044,546.7,18.9
Gage Park,63,39894,6974.220837,827.2,29.1
Clearing,64,23139,2938.436588,510,12.7
West Lawn,65,33355,1877.044523,644.6,19.3
Chicago Lawn,66,55628,1059.099001,1461.5,24.3
West Englewood,67,35505,1487.38987,2095.5,22.1
Englewood,68,30654,1828.185338,2179.2,19.1
Greater Grand Crossing,69,32602,972.7704732,2168.6,18.5
Ashburn,70,41081,750.9433329,822.8,13.4
Auburn Gresham,71,48743,2019.001194,1663.8,17.3
Beverly,72,20034,828.5777955,474.2,5.0
Washington Heights,73,26493,1889.699297,1475.9,13.2
Mount Greenwood,74,19093,2281.111063,204.3,3.2
Morgan Park,75,22544,2259.621095,953.7,10.3
O'Hare,76,12756,2928.441339,282.2,17.4
Edgewater,77,56521,1325.313158,682.9,15.7
